word/phrase,value,class
facilitated,ip,1
instance,ip,7
division,ip,2
labour,ip,2
uncivilized,ip,1
incapable,ip,1
output,ip,1
natural,ip,3
took,ip,1
appearance,ip,2
evident,ip,3
truth,ip,1
advent,ip,1
origin,ip,2
trace,ip,1
understandably,ip,1
without,ip,8
mention,ip,3
mossoff,ip,2
case,ip,9
classic,ip,1
mere,ip,1
extension,ip,8
existed,ip,1
territory,ip,10
terra,ip,1
nullius,ip,1
exempt,ip,1
smith,ip,2
operated,ip,1
market,ip,3
inefﬁcient,ip,1
urgent,ip,3
abrogation,ip,1
substitution,ip,1
civilized,ip,1
model,ip,4
martin,ip,2
vermeylen,ip,2
internationalization,ip,2
excluded,ip,2
bently,ip,6
sherman,ip,3
surprisingly,ip,1
far-ﬂung,ip,1
involved,ip,1
adoption,ip,1
initial,ip,1
key,ip,4
treaty,ip,3
namely,ip,4
paris,ip,2
berne,ip,3
convention,ip,16
regard,ip,9
note,ip,5
reinforced,ip,1
partly,ip,1
replicating,ip,1
continuing,ip,2
representative,ip,1
majority,ip,3
population,ip,10
negotiating,ip,2
table,ip,1
war,ip,1
became,ip,1
independent,ip,3
began,ip,1
introduce,ip,1
knowledge-sensitive,ip,1
diverged,ip,1
strategic,ip,2
debate,ip,14
india,ip,5
championed,ip,3
revision,ip,2
folklore,ip,8
member,ip,3
recent,ip,7
time,ip,7
frontline,ip,1
brazil,ip,1
continue,ip,3
articulate,ip,1
alternative,ip,4
voice,ip,3
equitable,ip,3
consistent,ip,1
pattern,ip,1
within,ip,10
matrix,ip,2
continued,ip,5
incarnation,ip,1
forum,ip,2
day,ip,1
crystallized,ip,1
symbolic,ip,1
consultation,ip,1
united,ip,6
nation,ip,7
educational,ip,1
provision,ip,1
expression,ip,5
illicit,ip,1
prejudicial,ip,1
action,ip,1
safeguarding,ip,2
intangible,ip,4
heritage,ip,10
intergovernmental,ip,2
committee,ip,2
activity,ip,3
diversity,ip,5
self-location,ip,1
pinnacle,ip,1
positioning,ip,1
bottom,ip,1
interplay,ip,1
inadvertently,ip,1
made,ip,4
treatment,ip,3
ﬂashpoint,ip,1
tension,ip,2
irresistibly,ip,1
condition,ip,3
relegation,ip,1
framing,ip,2
threaten,ip,1
subsume,ip,1
conﬂate,ip,2
next,ip,2
section,ip,1
broach,ip,1
counter-narratives,ip,3
extant,ip,2
ramiﬁcations,ip,1
terminological,ip,5
trap,ip,4
serious,ip,2
akin,ip,1
walking,ip,1
battleﬁeld,ip,1
littered,ip,1
landmines,ip,1
already,ip,3
paragraph,ip,2
deliberately,ip,1
thrown,ip,1
phrase,ip,2
random,ip,1
fashion,ip,1
drawn,ip,1
usage,ip,1
word,ip,1
provoke,ip,1
interrogative,ip,1
instinct,ip,1
discerning,ip,1
reader,ip,1
norm,ip,5
writing,ip,2
devote,ip,1
substantial,ip,1
effort,ip,1
clariﬁcation,ip,2
eg,ip,3
brush,ip,4
stanbinsky,ip,2
doubt,ip,5
congruous,ip,1
integrity,ip,2
guard,ip,1
misleading,ip,1
may,ip,9
portend,ip,1
red,ip,1
herring,ip,1
escapist,ip,1
expedition,ip,1
every,ip,4
contested,ip,12
rank,ip,3
includes,ip,2
following,ip,2
folk,ip,1
etc,ip,7
us,ip,3
conjunction,ip,1
myriad,ip,1
elaborate,ip,1
probe,ip,1
demarcation,ip,2
subcategories,ip,1
yet,ip,6
pedagogical,ip,1
ecological,ip,3
musicological,ip,1
botanical,ip,1
ethno-compounding,ip,1
similarly,ip,6
objectionable,ip,1
conceited,ip,1
underlie,ip,1
battiste,ip,4
henderson,ip,4
aboriginal,ip,1
native,ip,6
original,ip,2
north,ip,1
directly,ip,4
addressed,ip,1
appropriateness,ip,1
enumerated,ip,1
resist,ip,3
disburden,ip,1
connotation,ip,1
dichotomization,ip,7
represents,ip,1
re-characterize,ip,1
accordance,ip,1
sociological,ip,1
recognition,ip,6
characterization,ip,2
crucial,ip,5
direction,ip,5
council,ip,4
canadian,ip,3
first,ip,4
antiquity,ip,1
acquired,ip,2
used,ip,4
meaning,ip,2
character,ip,1
entirely,ip,1
unlike,ip,1
acquire,ip,1
settler,ip,3
scholar,ip,3
justify,ip,1
choice,ip,2
blakeney,ip,3
though,ip,1
distinguishing,ip,3
driven,ip,4
subtlety,ip,2
inclusion,ip,1
boundary,ip,4
marking,ip,1
legitimate,ip,2
speciﬁc,ip,3
enclave,ip,8
strongly,ip,1
elsewhere,ip,7
remarked,ip,1
persuasive,ip,1
chieﬂy,ip,2
non-limiting,ip,1
deﬂection,ip,1
controversy,ip,1
indigeneity,ip,2
argue,ip,3
preference,ip,1
based,ip,2
depiction,ip,1
contradistinction,ip,1
dominant,ip,3
divisive,ip,1
disempowered,ip,1
share,ip,3
near,ip,1
common,ip,6
rallying,ip,1
survival,ip,5
clearly,ip,2
inclusive,ip,5
appears,ip,1
endorsed,ip,1
recurring,ip,1
association,ip,2
text,ip,3
elastic,ip,1
phraseology,ip,1
exclusive,ip,6
attribute,ip,3
must,ip,2
acknowledge,ip,1
implicates,ip,1
veritable,ip,1
semantic,ip,1
mineﬁeld,ip,1
apparent,ip,4
mediate,ip,1
conﬂation,ip,2
completely,ip,1
disclaiming,ip,1
declares,ip,1
ﬁts,ip,1
inherently,ip,3
position,ip,2
subset,ip,2
applies,ip,2
ﬂuidity,ip,6
meld,ip,1
impact,ip,2
constituent,ip,2
accurate,ip,2
articulation,ip,1
entry,ip,2
deﬁne,ip,3
peculiar,ip,1
canada,ip,2
australasian,ip,1
subcontinent,ip,1
peculiarity,ip,1
detain,ip,1
u,ip,2
acceptable,ip,1
deﬁnition,ip,6
proven,ip,3
bold,ip,1
anaya,ip,2
cobo,ip,2
vacillate,ip,1
extremely,ip,2
under-inclusive,ip,1
overly,ip,2
conﬁgurations,ip,1
wiessner,ip,3
criterion,ip,3
colonization,ip,1
distinctiveness,ip,1
continual,ip,1
afﬁliation,ip,1
pre-invasion,ip,1
pre-colonial,ip,1
geographical,ip,1
location,ip,1
inconclusive,ip,1
daes,ip,3
argues,ip,3
precise,ip,1
checkered,ip,1
trajectory,ip,3
feasible,ip,1
group,ip,4
dependent,ip,1
de,ip,2
koning,ip,2
surmise,ip,1
counter-productive,ip,1
essentializes,ip,1
marginalizes,ip,1
deﬁnitions,ip,1
open-ended,ip,1
neutral,ip,1
assumes,ip,1
non-literal,ip,1
loosely,ip,2
speaking,ip,1
presently,ip,2
found,ip,2
border,ip,1
classiﬁed,ip,2
neo-liberal,ip,3
recognized,ip,3
ofﬁcially,ip,1
inhabitant,ip,1
subjected,ip,1
westphalian,ip,1
assume,ip,1
discernible,ip,1
similar,ip,5
lack,ip,3
unity,ip,1
purpose,ip,3
ruling,ip,1
elite,ip,1
indigenouslocal,ip,1
dove,ip,2
divergence,ip,4
rest,ip,4
readily,ip,3
subsumes,ip,1
complexly,ip,3
layered,ip,3
short,ip,2
riddled,ip,1
almost,ip,2
turn,ip,1
intention,ip,1
undermine,ip,2
undue,ip,1
concentration,ip,2
characteristically,ip,1
inexact,ip,2
little,ip,1
consequence,ip,2
exercise,ip,4
threatens,ip,2
marginalized,ip,1
marginalize,ip,1
futility,ip,1
danger,ip,4
related,ip,1
dubious,ip,4
distinction,ip,8
credible,ip,3
effective,ip,2
isolation,ip,1
essence,ip,2
characterized,ip,2
difﬁcult,ip,2
conclusively,ip,1
answer,ip,4
positive,ip,1
discussed,ip,1
earlier,ip,3
differentiated,ip,1
questionable,ip,3
premise,ip,1
insofar,ip,3
alludes,ip,1
identical,ip,2
worldviews,ip,3
merit,ip,1
analogous,ip,1
separation,ip,1
formal,ip,5
informal,ip,2
johnson,ip,2
nonconclusive,ip,1
ambiguously,ip,1
virtually,ip,3
true,ip,1
thus,ip,5
myth,ip,1
homogeneity,ip,1
commonality,ip,1
tradition,ip,3
categorization,ip,2
course,ip,2
variation,ip,1
unfashionably,ip,1
controversial,ip,1
adventure,ip,1
backing,ip,2
away,ip,2
safe,ip,1
say,ip,2
absolute,ip,2
evidently,ip,1
speaks,ip,1
difference,ip,4
thing,ip,1
identify,ip,2
feature,ip,2
represent,ip,4
so-called,ip,1
non-cosmopolitan,ip,2
paradigm,ip,2
pretension,ip,1
universalism,ip,1
shared,ip,2
peripheral,ip,1
largely,ip,1
experiential,ip,1
dependence,ip,1
threatened,ip,1
rapid,ip,3
trafﬁcking,ip,1
deﬁes,ip,1
comprehensive,ip,1
sustained,ip,2
consensus,ip,1
generated,ip,1
mostly,ip,1
distinct,ip,1
belief,ip,1
result,ip,3
culturally,ip,1
cajete,ip,2
complete,ip,1
concept,ip,4
epistemology,ip,1
validity,ip,1
limited,ip,1
mechanical,ip,1
mediation,ip,1
sum,ip,1
dichotomize,ip,1
bloc,ip,1
inelegant,ip,1
diverts,ip,1
lie,ip,1
behind,ip,1
fact,ip,7
constitution,ip,1
diverging,ip,5
priority,ip,7
recognizing,ip,2
propensity,ip,1
degree,ip,3
landscape,ip,1
negotiate,ip,2
coombe,ip,7
three,ip,1
quarter,ip,2
bioresources,ip,1
gene-rich,ip,1
home,ip,1
estimated,ip,1
million,ip,1
constitutes,ip,3
percentage,ip,1
self-identity,ip,1
preservation,ip,1
constituting,ip,2
self-determination,ip,5
land,ip,2
ancestral,ip,1
postcolonial,ip,3
intervention,ip,1
capitalist,ip,2
industry,ip,5
incursion,ip,1
isolated,ip,3
scattered,ip,1
segment,ip,3
ﬁt,ip,1
proﬁle,ip,1
tempo,ip,1
approached,ip,1
primarily,ip,2
attach,ip,1
mega-biodiversity,ip,1
rich,ip,2
feared,ip,1
extinction,ip,3
decimation,ip,1
double,ip,1
minority,ip,10
negotiation,ip,3
resonance,ip,1
independence,ip,2
extended,ip,1
referred,ip,1
blue,ip,2
salt,ip,1
water,ip,1
doctrine,ip,2
level,ip,2
circumstance,ip,1
wilmer,ip,2
prioritized,ip,1
objective,ip,8
relational,ip,1
opposed,ip,3
end-state,ip,1
separatist,ip,1
secured,ip,1
decolonization,ip,1
shifted,ip,1
attendant,ip,2
signiﬁcance,ip,1
crystallizes,ip,1
regional,ip,2
clout,ip,2
consideration,ip,7
stakeholder,ip,5
varied,ip,1
goal,ip,3
expectation,ip,5
davis,ip,2
ﬁnancial,ip,2
proceeds,ip,1
product,ip,6
embodying,ip,1
preventing,ip,1
inappropriate,ip,1
sacred,ip,7
secret,ip,1
symbol,ip,2
desire,ip,1
attribution,ip,1
valuable,ip,1
pivotal,ip,2
defensive,ip,1
thwart,ip,1
comer,ip,3
advantage,ip,1
gap,ip,3
prevailing,ip,1
invariably,ip,1
determined,ip,3
type,ip,1
divergent,ip,1
engage,ip,1
regarding,ip,2
option,ip,8
expose,ip,1
subjugation,ip,1
illustration,ip,1
critique,ip,1
principal,ip,2
pursuant,ip,1
sort,ip,1
ever-expanding,ip,1
supervises,ip,1
beneﬁts,ip,2
sometime,ip,1
responsibility,ip,1
incidental,ip,1
noted,ip,2
decentralized,ip,1
locus,ip,1
document,ip,1
rather,ip,1
reconcile,ip,1
remains,ip,1
problematic,ip,2
farley,ip,3
polarized,ip,1
patent,ip,19
originality,ip,2
inventiveness,ip,1
ingenuity,ip,1
obviousness,ip,1
newness,ip,1
individual,ip,2
invoked,ip,1
exclude,ip,1
jaszi,ip,2
obtain,ip,2
copyright,ip,13
requirement,ip,1
ﬁxation,ip,1
lately,ip,1
brown,ip,25
trademark,ip,1
appropriated,ip,2
meaning-making,ip,1
exclusionary,ip,1
stand,ip,3
scrutiny,ip,1
over-generalized,ip,1
notion,ip,4
instrumental,ip,1
base,ip,1
fault,ip,1
factor,ip,6
lend,ip,2
credibility,ip,1
fac,ip,1
ade,ip,1
irreconcilability,ip,1
suspicious,ip,1
epistemic,ip,5
divide,ip,1
fostered,ip,1
procedure,ip,1
press,ip,21
integration,ip,2
modify,ip,1
seen,ip,1
suited,ip,1
operate,ip,2
communal,ip,2
fringe,ip,1
ﬁfth,ip,1
fear,ip,1
transposition,ip,2
co-option,ip,2
subsuming,ip,1
agrawal,ip,3
last,ip,3
fast,ip,1
losing,ip,1
favor,ip,2
supposedly,ip,1
uncomfortable,ip,1
provide,ip,1
proposition,ip,2
generally,ip,1
sui,ip,2
generis,ip,2
halewood,ip,2
variegated,ip,1
reward,ip,3
scheme,ip,2
fall,ip,1
hold,ip,1
barred,ip,1
pursuit,ip,1
economic-driven,ip,1
rewarding,ip,1
area,ip,2
medicine,ip,3
pharmaceutical,ip,5
outright,ip,1
knowledge-related,ip,1
economic-based,ip,1
contractual,ip,2
incentive,ip,1
conceivable,ip,1
likely,ip,1
trepidation,ip,1
suspicion,ip,1
occasional,ip,1
dissonance,ip,1
statement,ip,1
warn,ip,1
adverse,ip,2
rhetoric,ip,1
remarkable,ip,1
sanctity,ip,1
apprehension,ip,1
commoditization,ip,1
potentially,ip,2
jeopardizes,ip,1
institutionalized,ip,3
secrecy,ip,5
posey,ip,3
undermining,ip,1
privilege,ip,1
membership,ip,3
informed,ip,2
survivalist,ip,1
necessity,ip,1
valuation,ip,1
scale,ip,1
initiative,ip,7
documentation,ip,2
digitization,ip,1
medicinal,ip,1
anti-biopiracy,ip,1
exploit,ip,2
joint,ip,2
ownership,ip,1
foreign,ip,1
seeker,ip,1
gupta,ip,2
krumenacher,ip,2
decontexualize,ip,1
strip,ip,1
content,ip,1
draw,ip,2
fully,ip,1
consequently,ip,2
yano,ip,2
pursue,ip,1
promise,ip,1
attractive,ip,2
interim,ip,1
urgency,ip,1
intense,ip,1
comparison,ip,1
prepared,ip,1
apply,ip,1
exigency,ip,1
inﬂuence,ip,3
seem,ip,2
taken,ip,2
renowned,ip,1
michael,ip,3
celebrated,ip,1
reﬂection,ip,2
placed,ip,1
disposal,ip,1
decries,ip,1
speciﬁcally,ip,4
activist,ip,1
romantic,ip,1
critic,ip,1
support,ip,3
idea,ip,3
tangible,ip,1
ad,ip,1
inﬁnitum,ip,1
amount,ip,2
ignores,ip,4
broader,ip,3
imperiled,ip,4
express,ip,1
skepticism,ip,2
object,ip,3
museum,ip,3
place,ip,1
appreciating,ip,1
attraction,ip,1
demand,ip,4
broadened,ip,1
