word/phrase,value,class
poitras,hr,4
donald,hr,1
para,hr,18
controversy,hr,2
clarify,hr,4
attack,hr,2
stratford,hr,2
beacon,hr,2
herald,hr,2
indepth,hr,3
disputed,hr,4
toronto,hr,4
star,hr,3
bernard,hr,1
riordan,hr,1
re,hr,1
beaver,hr,1
brook,hr,1
globe,hr,2
mail,hr,2
get,hr,2
boost,hr,2
battle,hr,2
judging,hr,3
hear,hr,3
jahn,hr,2
versus,hr,2
nolan,hr,2
ont,hr,1
lind,hr,2
jarvis,hr,2
phelan,hr,2
appellant,hr,2
outline,hr,2
drache,hr,2
win,hr,2
round,hr,2
gilbert,hr,2
gillis,hr,2
palmer,hr,2
reply,hr,5
taylor,hr,3
amused,hr,3
goddard,hr,3
ghost,hr,3
respondent,hr,1
propose,hr,2
outrage,hr,1
grows,hr,1
among,hr,1
lover,hr,1
raid,hr,1
settle,hr,1
arthur,hr,1
ed,hr,2
daniel,hr,1
maine,hr,1
antique,hr,1
digest,hr,1
forced,hr,1
survive,hr,1
ina,hr,1
determining,hr,1
antiquity,hr,1
marilyn,hr,1
durham,hr,1
carolina,hr,1
academic,hr,1
philip,hr,1
nd,hr,1
irwin,hr,1
norman,hr,1
kluwer,hr,1
jacques,hr,1
shattered,hr,1
legacy,hr,1
goose,hr,1
lane,hr,1
edition,hr,1
mark,hr,1
gleaner,hr,1
treasure,hr,1
telegraph,hr,1
